rank,athlete_name,country,div_rank,gender_rank,overall_rank,designation,bib,division,points,swim_time,swim_time_detail,swim_div_rank,swim_gender_rank,swim_overall_rank,transition_1,transition_1_detail,bike_time,bike_time_detail,bike_div_rank,bike_gender_rank,bike_overall_rank,transition_2,transition_2_detail,run_time,run_time_detail,run_div_rank,run_gender_rank,run_overall_rank,finish_time
1,Laura Philipp,DE,1,1,1,Finisher,3,FPRO,6000,0:53:16,0:53:16,13,17,17,0:02:28,0:02:28,5:02:25,5:02:25,2,2,2,0:02:06,0:02:06,2:44:59,2:44:59,1,1,1,8:45:15
2,Kat Matthews,,2,2,2,Finisher,6,FPRO,5515,0:49:43,0:49:43,7,8,8,0:02:40,0:02:40,5:05:46,5:05:46,1,1,1,0:02:05,0:02:05,2:53:06,2:53:06,2,2,2,8:53:20
3,Chelsea Sodaro,US,3,3,3,Finisher,4,FPRO,4837,0:49:58,0:49:58,10,11,11,0:02:46,0:02:46,5:15:14,5:15:14,4,4,4,0:02:15,0:02:15,2:54:25,2:54:25,3,3,3,9:04:38
4,Marjolaine Pierré,FR,4,4,4,Finisher,15,FPRO,4541,0:49:56,0:49:56,9,10,10,0:02:29,0:02:29,5:12:27,5:12:27,3,3,3,0:02:12,0:02:12,3:02:30,3:02:30,4,4,4,9:09:34
5,Nikki Bartlett,GB,5,5,5,Finisher,40,FPRO,4168,0:55:30,0:55:30,17,29,29,0:02:46,0:02:46,5:17:42,5:17:42,7,7,7,0:02:25,0:02:25,2:57:24,2:57:24,5,5,5,9:15:47
6,Marta Sanchez,,6,6,6,Finisher,17,FPRO,3967,0:49:13,0:49:13,2,2,2,0:02:54,0:02:54,5:18:00,5:18:00,5,5,5,0:02:34,0:02:34,3:06:27,3:06:27,6,6,6,9:19:08
7,Penny Slater,AU,7,7,7,Finisher,26,FPRO,3808,0:56:46,0:56:46,19,43,43,0:02:56,0:02:56,5:18:36,5:18:36,8,8,8,0:02:06,0:02:06,3:01:22,3:01:22,7,7,7,9:21:47
8,Lotte Wilms,NL,8,8,8,Finisher,22,FPRO,3707,0:49:19,0:49:19,5,5,5,0:03:49,0:03:49,5:22:02,5:22:02,6,6,6,0:02:39,0:02:39,3:05:39,3:05:39,8,8,8,9:23:28
9,Jackie Hering,,9,9,9,Finisher,7,FPRO,3606,0:55:23,0:55:23,14,25,25,0:02:41,0:02:41,5:26:07,5:26:07,12,12,12,0:03:19,0:03:19,2:57:40,2:57:40,9,9,9,9:25:09
10,Hannah Berry,NZ,10,10,10,Finisher,11,FPRO,3182,0:49:20,0:49:20,6,6,6,0:02:40,0:02:40,5:28:25,5:28:25,10,10,10,0:02:23,0:02:23,3:09:25,3:09:25,10,10,10,9:32:13
11,Danielle Lewis,,11,11,11,Finisher,8,FPRO,3085,1:01:18,1:01:18,30,97,97,0:02:52,0:02:52,5:26:44,5:26:44,17,17,17,0:02:33,0:02:33,3:00:24,3:00:24,11,11,11,9:33:50
12,Jeanne Collonge,FR,12,12,12,Finisher,43,FPRO,3033,0:57:36,0:57:36,20,50,50,0:03:01,0:03:01,5:28:13,5:28:13,16,16,16,0:02:20,0:02:20,3:03:32,3:03:32,12,12,12,9:34:42
13,Maja Stage Nielsen,DK,13,13,13,Finisher,18,FPRO,2921,0:53:06,0:53:06,11,15,15,0:02:43,0:02:43,5:32:57,5:32:57,15,15,15,0:02:22,0:02:22,3:05:26,3:05:26,13,13,13,9:36:34
14,Merle Brunnée,DE,14,14,14,Finisher,42,FPRO,2777,1:03:54,1:03:54,32,145,145,0:03:18,0:03:18,5:23:44,5:23:44,18,18,18,0:02:19,0:02:19,3:05:44,3:05:44,14,14,14,9:38:58
15,Gurutze Frades Larralde,ES,15,15,15,Finisher,12,FPRO,2654,0:57:46,0:57:46,22,53,53,0:03:05,0:03:05,5:35:03,5:35:03,23,23,23,0:02:13,0:02:13,3:02:53,3:02:53,15,15,15,9:41:01
16,Fenella Langridge,GB,16,16,16,Finisher,10,FPRO,2540,0:49:13,0:49:13,1,1,1,0:02:33,0:02:33,5:27:06,5:27:06,9,9,9,0:02:10,0:02:10,3:21:53,3:21:53,16,16,16,9:42:55
17,Katrine Græsbøll Christensen,DK,17,17,17,Finisher,36,FPRO,2525,0:57:51,0:57:51,26,57,57,0:02:46,0:02:46,5:32:31,5:32:31,20,20,20,0:02:14,0:02:14,3:07:48,3:07:48,17,17,17,9:43:10
18,Daniela Bleymehl,DE,18,18,18,Finisher,20,FPRO,2396,0:55:27,0:55:27,16,27,27,0:03:19,0:03:19,5:23:50,5:23:50,11,11,11,0:02:39,0:02:39,3:20:03,3:20:03,18,18,18,9:45:19
19,Katharina Wolff,DE,19,19,19,Finisher,28,FPRO,2306,0:57:48,0:57:48,24,55,55,0:02:52,0:02:52,5:33:40,5:33:40,22,22,22,0:02:37,0:02:37,3:09:52,3:09:52,19,19,19,9:46:49
20,Julia Skala,,20,20,20,Finisher,51,FPRO,1947,0:59:19,0:59:19,28,73,73,0:02:45,0:02:45,5:39:01,5:39:01,26,27,27,0:02:25,0:02:25,3:09:18,3:09:18,20,20,20,9:52:48
21,Laura Zimmermann,DE,21,21,21,Finisher,50,FPRO,1884,0:58:57,0:58:57,27,71,71,0:02:51,0:02:51,5:38:09,5:38:09,25,25,25,0:02:50,0:02:50,3:11:04,3:11:04,21,21,21,9:53:51
22,Lea Riccoboni,,1,22,22,Finisher,686,F30-34,5000,0:55:54,0:55:54,8,36,36,0:03:18,0:03:18,5:40:46,5:40:46,1,26,26,0:02:41,0:02:41,3:11:27,3:11:27,1,22,22,9:54:07
23,Rebecca Clarke,NZ,22,23,23,Finisher,30,FPRO,1750,0:49:16,0:49:16,3,3,3,0:02:32,0:02:32,5:41:04,5:41:04,19,19,19,0:02:59,0:02:59,3:20:15,3:20:15,22,23,23,9:56:05
24,Joanna Soltysiak-Vrebac,PL,1,24,24,Finisher,252,F35-39,5000,1:03:07,1:03:07,5,135,135,0:03:03,0:03:03,5:35:27,5:35:27,1,28,28,0:02:57,0:02:57,3:11:58,3:11:58,1,24,24,9:56:33
25,Kyra Meulenberg,NL,2,25,25,Finisher,684,F30-34,4932,1:04:34,1:04:34,37,161,161,0:04:19,0:04:19,5:46:55,5:46:55,5,43,43,0:03:55,0:03:55,2:59:59,2:59:59,2,25,25,9:59:43
26,Giorgia Priarone,IT,23,26,26,Finisher,24,FPRO,1513,0:57:49,0:57:49,25,56,56,0:02:55,0:02:55,5:36:52,5:36:52,24,24,24,0:02:24,0:02:24,3:20:01,3:20:01,23,26,26,10:00:02
27,Kylie Simpson,AU,24,27,27,Finisher,19,FPRO,1285,1:09:59,1:09:59,34,342,342,0:02:44,0:02:44,5:52:32,5:52:32,33,55,55,0:02:08,0:02:08,2:56:26,2:56:26,24,27,27,10:03:50
28,Simone Mitchell,GB,25,28,28,Finisher,31,FPRO,1153,0:57:47,0:57:47,23,54,54,0:02:54,0:02:54,5:50:11,5:50:11,28,31,31,0:02:46,0:02:46,3:12:22,3:12:22,25,28,28,10:06:02
29,Alice Alberts,US,26,29,29,Finisher,9,FPRO,1137,0:55:25,0:55:25,15,26,26,0:03:25,0:03:25,5:26:09,5:26:09,13,13,13,0:03:07,0:03:07,3:38:13,3:38:13,26,29,29,10:06:18
30,Fiona Moriarty,,27,30,30,Finisher,38,FPRO,1032,1:00:31,1:00:31,29,89,89,0:02:53,0:02:53,5:44:40,5:44:40,27,29,29,0:02:24,0:02:24,3:17:35,3:17:35,27,30,30,10:08:03
31,Jacqueline Kallina,,3,31,31,Finisher,563,F30-34,4770,0:55:59,0:55:59,9,37,37,0:04:30,0:04:30,5:51:39,5:51:39,4,34,34,0:03:14,0:03:14,3:17:53,3:17:53,3,31,31,10:13:15
32,Erin Schenkels,CA,28,32,32,Finisher,21,FPRO,667,1:02:15,1:02:15,31,111,111,0:03:48,0:03:48,5:46:54,5:46:54,29,37,37,0:03:28,0:03:28,3:17:42,3:17:42,28,32,32,10:14:08
33,Ai Ueda,JP,29,33,33,Finisher,32,FPRO,530,0:57:39,0:57:39,21,51,51,0:02:46,0:02:46,5:58:13,5:58:13,30,47,47,0:02:04,0:02:04,3:15:43,3:15:43,29,33,33,10:16:25
34,Samantha Skold,US,4,34,34,Finisher,707,F30-34,4729,1:07:19,1:07:19,51,238,238,0:03:38,0:03:38,6:02:25,6:02:25,11,65,65,0:03:54,0:03:54,2:59:25,2:59:25,4,34,34,10:16:41
35,Patricia Rauber,,5,35,35,Finisher,647,F30-34,4721,1:02:25,1:02:25,18,112,112,0:03:38,0:03:38,5:45:18,5:45:18,3,33,33,0:02:17,0:02:17,3:23:43,3:23:43,5,35,35,10:17:21
36,Karen Schultheiss,CH,2,36,36,Finisher,155,F35-39,4740,1:08:09,1:08:09,23,271,271,0:02:56,0:02:56,5:43:20,5:43:20,2,39,39,0:02:33,0:02:33,3:21:11,3:21:11,2,36,36,10:18:09
37,Caterina Mariani,CH,1,37,37,Finisher,1187,F25-29,5000,1:14:43,1:14:43,67,557,557,0:03:00,0:03:00,5:36:48,5:36:48,2,40,40,0:02:49,0:02:49,3:21:05,3:21:05,1,37,37,10:18:25
38,Laura Jalasto,,1,38,38,Finisher,1377,F45-49,5000,1:04:04,1:04:04,11,151,151,0:03:48,0:03:48,5:46:21,5:46:21,2,38,38,0:02:33,0:02:33,3:24:41,3:24:41,1,38,38,10:21:26
39,Rosie Wild,GB,30,39,39,Finisher,49,FPRO,23,1:09:55,1:09:55,33,339,339,0:03:14,0:03:14,5:48:19,5:48:19,31,49,49,0:03:46,0:03:46,3:19:37,3:19:37,30,39,39,10:24:52
40,Morena Stevens,,2,40,40,Finisher,1163,F25-29,4917,0:59:58,0:59:58,14,82,82,0:03:06,0:03:06,5:58:38,5:58:38,3,50,50,0:02:51,0:02:51,3:20:47,3:20:47,2,40,40,10:25:20
41,Jana Richtrova,CZ,1,41,41,Finisher,732,F40-44,5000,1:08:30,1:08:30,54,286,286,0:04:12,0:04:12,5:36:32,5:36:32,1,30,30,0:03:44,0:03:44,3:32:23,3:32:23,1,41,41,10:25:21
42,Julie Iemmolo,,31,42,42,Finisher,27,FPRO,0,0:49:54,0:49:54,8,9,9,0:02:40,0:02:40,5:32:29,5:32:29,14,14,14,0:01:58,0:01:58,3:59:20,3:59:20,31,42,42,10:26:21
