rank,athlete_name,country,div_rank,gender_rank,overall_rank,designation,bib,division,points,swim_time,swim_time_detail,swim_div_rank,swim_gender_rank,swim_overall_rank,transition_1,transition_1_detail,bike_time,bike_time_detail,bike_div_rank,bike_gender_rank,bike_overall_rank,transition_2,transition_2_detail,run_time,run_time_detail,run_div_rank,run_gender_rank,run_overall_rank,finish_time
26,Nina Derron,CH,26,26,26,Finisher,53,FPRO,4378,0:55:55,0:55:55,24,25,25,0:02:26,0:02:26,4:59:45,4:59:45,26,26,26,0:02:42,0:02:42,3:19:26,3:19:26,26,26,26,9:20:14
27,Gabrielle Lumkes,,27,27,27,Finisher,35,FPRO,4331,0:55:51,0:55:51,19,20,20,0:02:30,0:02:30,5:00:29,5:00:29,29,29,29,0:03:08,0:03:08,3:22:13,3:22:13,27,27,27,9:24:12
28,Lottie Lucas,AE,28,28,28,Finisher,50,FPRO,4325,0:55:48,0:55:48,16,17,17,0:02:37,0:02:37,4:56:42,4:56:42,23,23,23,0:03:33,0:03:33,3:26:04,3:26:04,28,28,28,9:24:42
29,Merle Brunnée,DE,29,29,29,Finisher,52,FPRO,4263,1:05:23,1:05:23,43,129,129,0:02:55,0:02:55,4:50:34,4:50:34,30,30,30,0:02:52,0:02:52,3:28:06,3:28:06,29,29,29,9:29:50
30,Henrike Güber,,30,30,30,Finisher,29,FPRO,4259,1:05:27,1:05:27,44,130,130,0:02:34,0:02:34,4:54:34,4:54:34,35,35,35,0:03:16,0:03:16,3:24:21,3:24:21,30,30,30,9:30:11
31,Anne Reischmann,DE,31,31,31,Finisher,12,FPRO,4255,1:00:54,1:00:54,35,64,64,0:02:55,0:02:55,4:52:43,4:52:43,25,25,25,0:03:15,0:03:15,3:30:43,3:30:43,31,31,31,9:30:30
32,Marjolaine Pierré,FR,32,32,32,Finisher,4,FPRO,4219,0:55:45,0:55:45,15,16,16,0:02:09,0:02:09,5:00:30,5:00:30,27,27,27,0:08:39,0:08:39,3:26:28,3:26:28,32,32,32,9:33:32
33,Samantha Skold,US,1,33,33,Finisher,689,F30-34,5000,1:13:30,1:13:30,82,406,406,0:02:51,0:02:51,4:57:28,4:57:28,1,39,39,0:03:52,0:03:52,3:17:19,3:17:19,1,33,33,9:34:59
34,Rebecca Clarke,NZ,33,34,34,Finisher,31,FPRO,4157,0:51:01,0:51:01,3,3,3,0:02:27,0:02:27,5:00:03,5:00:03,19,19,19,0:05:15,0:05:15,3:39:56,3:39:56,33,34,34,9:38:42
35,Stephanie Clutterbuck,GB,34,35,35,Finisher,38,FPRO,4144,0:51:32,0:51:32,4,4,4,0:02:41,0:02:41,4:49:32,4:49:32,10,10,10,0:03:34,0:03:34,3:52:28,3:52:28,34,35,35,9:39:47
36,Livia Eggler,CH,2,36,36,Finisher,708,F30-34,4933,1:08:48,1:08:48,39,226,226,0:03:21,0:03:21,5:18:06,5:18:06,6,70,70,0:03:25,0:03:25,3:06:53,3:06:53,2,36,36,9:40:32
37,Fiona Moriarty,,35,37,37,Finisher,46,FPRO,4108,1:00:57,1:00:57,38,69,69,0:02:36,0:02:36,5:00:01,5:00:01,36,36,36,0:05:03,0:05:03,3:34:07,3:34:07,35,37,37,9:42:45
38,Lou Prigent,,1,38,38,Finisher,1378,F25-29,5000,1:00:03,1:00:03,6,44,44,0:02:48,0:02:48,5:12:58,5:12:58,1,41,41,0:03:20,0:03:20,3:24:08,3:24:08,1,38,38,9:43:16
39,Joanna Soltysiak-Vrebac,PL,1,39,39,Finisher,204,F35-39,5000,1:03:57,1:03:57,13,95,95,0:02:52,0:02:52,5:19:31,5:19:31,4,55,55,0:03:24,0:03:24,3:16:14,3:16:14,1,39,39,9:45:57
40,Jodie Robertson,US,36,40,40,Finisher,47,FPRO,4055,1:00:47,1:00:47,33,62,62,0:03:20,0:03:20,5:05:29,5:05:29,37,37,37,0:05:42,0:05:42,3:31:51,3:31:51,36,40,40,9:47:10
41,Annamarie Strehlow,US,37,41,41,Finisher,56,FPRO,4048,1:00:50,1:00:50,34,63,63,0:02:46,0:02:46,5:10:44,5:10:44,38,40,40,0:03:48,0:03:48,3:29:34,3:29:34,37,41,41,9:47:43
42,Laura Heinonen,FI,2,42,42,Finisher,330,F35-39,4967,1:09:37,1:09:37,37,253,253,0:03:14,0:03:14,5:14:18,5:14:18,5,58,58,0:03:04,0:03:04,3:18:25,3:18:25,2,42,42,9:48:38
43,MIZUKI HIRAYANAGI,JP,3,43,43,Finisher,773,F30-34,4828,1:05:05,1:05:05,13,111,111,0:04:07,0:04:07,5:13:19,5:13:19,2,51,51,0:02:42,0:02:42,3:24:07,3:24:07,3,43,43,9:49:19
44,Hannah Rössler,AT,1,44,44,Finisher,1458,F18-24,5000,1:00:32,1:00:32,4,54,54,0:03:47,0:03:47,5:27:29,5:27:29,3,72,72,0:02:54,0:02:54,3:21:23,3:21:23,1,44,44,9:56:04
45,Ana Laura Canil Franzini de Almeida,BR,2,45,45,Finisher,1339,F25-29,4841,1:08:45,1:08:45,43,221,221,0:05:11,0:05:11,5:24:53,5:24:53,12,105,105,0:03:20,0:03:20,3:14:22,3:14:22,2,45,45,9:56:31
46,Julie Iemmolo,,38,46,46,Finisher,22,FPRO,3937,0:51:36,0:51:36,5,5,5,0:02:46,0:02:46,4:57:32,4:57:32,18,18,18,0:03:08,0:03:08,4:01:59,4:01:59,38,46,46,9:57:01
47,Christina Paulus,DE,1,47,47,Finisher,848,F40-44,5000,1:11:45,1:11:45,35,322,322,0:04:43,0:04:43,5:18:20,5:18:20,8,84,84,0:03:47,0:03:47,3:18:34,3:18:34,1,47,47,9:57:09
48,Olga Kowalska,PL,3,48,48,Finisher,247,F35-39,4861,1:09:40,1:09:40,38,255,255,0:03:16,0:03:16,5:23:45,5:23:45,11,93,93,0:04:47,0:04:47,3:16:03,3:16:03,3,48,48,9:57:31
49,Sophia Trenz,DE,3,49,49,Finisher,1399,F25-29,4825,1:13:09,1:13:09,56,391,391,0:02:36,0:02:36,5:04:30,5:04:30,3,49,49,0:04:35,0:04:35,3:32:58,3:32:58,3,49,49,9:57:48
50,Liis Rametta,,2,50,50,Finisher,961,F40-44,4982,1:16:06,1:16:06,70,515,515,0:03:44,0:03:44,5:16:16,5:16:16,10,90,90,0:04:03,0:04:03,3:18:27,3:18:27,2,50,50,9:58:36
51,Grace Joel,AU,4,51,51,Finisher,1406,F25-29,4805,1:02:59,1:02:59,13,82,82,0:04:20,0:04:20,5:22:42,5:22:42,7,68,68,0:03:00,0:03:00,3:26:27,3:26:27,4,51,51,9:59:27
52,Katie Colville,,39,52,52,Finisher,60,FPRO,3896,1:00:55,1:00:55,36,65,65,0:03:32,0:03:32,5:25:46,5:25:46,40,69,69,0:04:17,0:04:17,3:25:54,3:25:54,39,52,52,10:00:25
53,Pierangela Dezerega,,4,53,53,Finisher,293,F35-39,4815,1:10:27,1:10:27,43,280,280,0:04:11,0:04:11,5:14:21,5:14:21,7,65,65,0:03:41,0:03:41,3:28:40,3:28:40,4,53,53,10:01:20
54,Katie Remond,,40,54,54,Finisher,45,FPRO,3881,1:00:44,1:00:44,31,60,60,0:02:53,0:02:53,5:17:01,5:17:01,39,50,50,0:03:37,0:03:37,3:37:23,3:37:23,40,54,54,10:01:38
55,Nataliia Matsupko,UA,3,55,55,Finisher,929,F40-44,4940,1:00:33,1:00:33,2,55,55,0:03:14,0:03:14,5:14:18,5:14:18,3,46,46,0:03:43,0:03:43,3:40:21,3:40:21,3,55,55,10:02:08
56,Alexeja Kleiter,,5,56,56,Finisher,1337,F25-29,4764,1:09:39,1:09:39,47,254,254,0:04:33,0:04:33,5:09:56,5:09:56,4,53,53,0:03:52,0:03:52,3:34:53,3:34:53,5,56,56,10:02:54
57,Jana Richtrova,CZ,1,57,57,Finisher,1550,F45-49,5000,1:17:19,1:17:19,66,548,548,0:03:48,0:03:48,4:57:48,4:57:48,1,47,47,0:05:00,0:05:00,3:39:36,3:39:36,1,57,57,10:03:31
58,Chelsea Seymour,,2,58,58,Finisher,1505,F18-24,4887,0:59:27,0:59:27,1,34,34,0:03:58,0:03:58,5:16:28,5:16:28,1,48,48,0:04:23,0:04:23,3:41:10,3:41:10,2,58,58,10:05:26
59,Jessica Ittner,,4,59,59,Finisher,766,F30-34,4631,1:16:01,1:16:01,98,512,512,0:04:15,0:04:15,5:20:05,5:20:05,18,115,115,0:02:55,0:02:55,3:22:26,3:22:26,4,59,59,10:05:43
60,Victoria Feng,US,6,60,60,Finisher,1369,F25-29,4730,0:58:01,0:58:01,2,29,29,0:03:31,0:03:31,5:14:40,5:14:40,2,42,42,0:04:22,0:04:22,3:45:12,3:45:12,6,60,60,10:05:44
61,Sophie Drews,DE,5,61,61,Finisher,775,F30-34,4627,1:00:16,1:00:16,3,46,46,0:05:06,0:05:06,5:35:09,5:35:09,19,117,117,0:04:19,0:04:19,3:21:11,3:21:11,5,61,61,10:06:01
62,Rike Kubillus,DE,6,62,62,Finisher,688,F30-34,4622,1:05:20,1:05:20,19,121,121,0:03:32,0:03:32,5:19:24,5:19:24,4,63,63,0:03:17,0:03:17,3:34:53,3:34:53,6,62,62,10:06:25
63,Esmee Broekhuizen,NL,7,63,63,Finisher,1367,F25-29,4720,1:07:59,1:07:59,37,180,180,0:04:09,0:04:09,5:15:49,5:15:49,6,61,61,0:03:59,0:03:59,3:34:36,3:34:36,7,63,63,10:06:32
64,Sharon Schmidt-Mongrain,US,1,64,64,Finisher,1109,F50-54,5000,1:09:02,1:09:02,12,234,234,0:04:12,0:04:12,5:25:10,5:25:10,2,102,102,0:04:10,0:04:10,3:24:22,3:24:22,1,64,64,10:06:55
65,Danielle Lewis,,41,65,65,Finisher,24,FPRO,3790,1:03:26,1:03:26,40,89,89,0:02:34,0:02:34,5:25:40,5:25:40,41,71,71,0:06:11,0:06:11,3:31:26,3:31:26,41,65,65,10:09:17
66,Carly Zanatta,CA,7,66,66,Finisher,647,F30-34,4587,1:09:10,1:09:10,43,237,237,0:04:19,0:04:19,5:22:40,5:22:40,14,91,91,0:05:05,0:05:05,3:28:08,3:28:08,7,66,66,10:09:22
67,Chloe Legrix De La Salle,FR,8,67,67,Finisher,700,F30-34,4582,1:12:15,1:12:15,67,357,357,0:04:25,0:04:25,5:17:32,5:17:32,10,82,82,0:04:05,0:04:05,3:31:30,3:31:30,8,67,67,10:09:47
68,Cindy Lefebvre,BE,8,68,68,Finisher,1442,F25-29,4679,1:09:05,1:09:05,44,235,235,0:04:42,0:04:42,5:26:43,5:26:43,14,116,116,0:03:43,0:03:43,3:25:45,3:25:45,8,68,68,10:09:57
69,Hannah Juettner,,9,69,69,Finisher,690,F30-34,4570,1:12:07,1:12:07,62,351,351,0:05:02,0:05:02,5:33:40,5:33:40,33,176,176,0:03:36,0:03:36,3:16:24,3:16:24,9,69,69,10:10:49
70,BROOKE BROWN,CA,2,70,70,Finisher,1608,F45-49,4887,1:09:57,1:09:57,21,268,268,0:04:24,0:04:24,5:14:02,5:14:02,2,64,64,0:04:51,0:04:51,3:39:42,3:39:42,2,70,70,10:12:56
71,Julia Flausino Traboulsi,BR,9,71,71,Finisher,1424,F25-29,4643,1:08:39,1:08:39,41,211,211,0:03:37,0:03:37,5:22:49,5:22:49,8,85,85,0:03:37,0:03:37,3:34:15,3:34:15,9,71,71,10:12:57
72,Katja Stoecker,DE,4,72,72,Finisher,954,F40-44,4808,1:25:15,1:25:15,166,995,995,0:05:16,0:05:16,5:07:44,5:07:44,11,100,100,0:04:42,0:04:42,3:30:11,3:30:11,4,72,72,10:13:07
73,Ushakova Svetlana,BE,5,73,73,Finisher,169,F35-39,4646,0:56:18,0:56:18,2,27,27,0:02:53,0:02:53,5:30:28,5:30:28,8,67,67,0:03:02,0:03:02,3:42:41,3:42:41,5,73,73,10:15:23
74,Ida Østerby,DK,10,74,74,Finisher,1383,F25-29,4612,1:14:22,1:14:22,66,434,434,0:05:09,0:05:09,5:19:20,5:19:20,13,107,107,0:05:13,0:05:13,3:31:29,3:31:29,10,74,74,10:15:33
75,Megan Ivers,,5,75,75,Finisher,917,F40-44,4777,1:08:05,1:08:05,17,182,182,0:04:25,0:04:25,5:19:52,5:19:52,7,76,76,0:03:28,0:03:28,3:39:50,3:39:50,5,75,75,10:15:40
76,URSULA LEGARIA,MX,6,76,76,Finisher,283,F35-39,4643,1:09:36,1:09:36,36,251,251,0:05:00,0:05:00,5:35:06,5:35:06,22,168,168,0:03:47,0:03:47,3:22:13,3:22:13,6,76,76,10:15:42
77,Hope Hoffman,,11,77,77,Finisher,1358,F25-29,4610,1:05:01,1:05:01,22,110,110,0:03:51,0:03:51,5:29:25,5:29:25,11,101,101,0:03:28,0:03:28,3:33:57,3:33:57,11,77,77,10:15:42
78,Janina Edenhofner,,10,78,78,Finisher,738,F30-34,4507,1:21:59,1:21:59,123,810,810,0:04:58,0:04:58,5:19:48,5:19:48,29,153,153,0:05:16,0:05:16,3:24:00,3:24:00,10,78,78,10:16:02
79,Yanina Minaglia,AR,6,79,79,Finisher,1042,F40-44,4771,1:05:23,1:05:23,10,127,127,0:04:06,0:04:06,5:28:59,5:28:59,13,104,104,0:03:18,0:03:18,3:34:28,3:34:28,6,79,79,10:16:13
80,Jasmine Sloane,AU,3,80,80,Finisher,1492,F18-24,4748,1:03:16,1:03:16,7,88,88,0:04:43,0:04:43,5:23:53,5:23:53,4,73,73,0:03:35,0:03:35,3:41:35,3:41:35,3,80,80,10:17:01
81,Anna Harrison,GB,7,81,81,Finisher,120,F35-39,4627,1:03:34,1:03:34,10,92,92,0:03:52,0:03:52,5:20:43,5:20:43,6,62,62,0:04:29,0:04:29,3:44:23,3:44:23,7,81,81,10:17:01
82,Fatima Negri,,8,82,82,Finisher,161,F35-39,4624,1:09:20,1:09:20,35,242,242,0:03:12,0:03:12,5:34:47,5:34:47,19,155,155,0:03:03,0:03:03,3:26:55,3:26:55,8,82,82,10:17:17
83,Bruna Stolf,BR,42,83,83,Finisher,58,FPRO,3692,0:58:41,0:58:41,25,33,33,0:03:19,0:03:19,5:43:13,5:43:13,43,142,142,0:04:57,0:04:57,3:27:14,3:27:14,42,83,83,10:17:24
84,Dorthe Nordgård,NO,4,84,84,Finisher,1484,F18-24,4743,1:09:20,1:09:20,16,243,243,0:04:10,0:04:10,5:39:09,5:39:09,12,186,186,0:04:07,0:04:07,3:20:40,3:20:40,4,84,84,10:17:26
85,Haley Thaning,US,12,85,85,Finisher,1389,F25-29,4578,0:55:25,0:55:25,1,9,9,0:03:53,0:03:53,5:38:17,5:38:17,10,97,97,0:04:24,0:04:24,3:36:23,3:36:23,12,85,85,10:18:23
86,Irina Metelyuk,CA,11,86,86,Finisher,784,F30-34,4477,1:08:53,1:08:53,41,228,228,0:03:36,0:03:36,5:25:12,5:25:12,15,98,98,0:04:15,0:04:15,3:36:37,3:36:37,11,86,86,10:18:33
87,Maria Florencia Diaz Philippi,,3,87,87,Finisher,1568,F45-49,4819,1:11:20,1:11:20,29,306,306,0:04:34,0:04:34,5:23:27,5:23:27,6,110,110,0:03:47,0:03:47,3:35:25,3:35:25,3,87,87,10:18:33
88,Karrie Stewart,,9,88,88,Finisher,322,F35-39,4603,0:58:24,0:58:24,4,32,32,0:04:14,0:04:14,5:11:07,5:11:07,1,38,38,0:05:14,0:05:14,4:00:03,4:00:03,9,88,88,10:19:02
89,Ana Augusta Lima Soares Barbosa,,10,89,89,Finisher,305,F35-39,4589,1:06:52,1:06:52,21,153,153,0:03:19,0:03:19,5:07:43,5:07:43,2,44,44,0:04:03,0:04:03,3:58:14,3:58:14,10,89,89,10:20:11
90,Elise Pozzebon,,5,90,90,Finisher,1494,F18-24,4706,0:59:30,0:59:30,2,36,36,0:04:12,0:04:12,5:22:38,5:22:38,2,56,56,0:04:57,0:04:57,3:49:16,3:49:16,5,90,90,10:20:32
91,Margaux Chevillard,FR,11,91,91,Finisher,188,F35-39,4582,1:17:39,1:17:39,90,569,569,0:03:11,0:03:11,5:21:47,5:21:47,14,131,131,0:04:27,0:04:27,3:33:39,3:33:39,11,91,91,10:20:43
92,Marie Hielscher,DE,7,92,92,Finisher,949,F40-44,4708,1:05:12,1:05:12,7,115,115,0:04:12,0:04:12,5:32:41,5:32:41,17,126,126,0:07:13,0:07:13,3:32:08,3:32:08,7,92,92,10:21:26
93,Marie-Lyne Dore,BM,8,93,93,Finisher,969,F40-44,4700,1:11:53,1:11:53,38,333,333,0:04:51,0:04:51,5:27:08,5:27:08,19,136,136,0:06:10,0:06:10,3:32:04,3:32:04,8,93,93,10:22:07
94,Mayla Moraes,BR,12,94,94,Finisher,729,F30-34,4426,1:12:03,1:12:03,59,344,344,0:03:24,0:03:24,5:20:32,5:20:32,13,89,89,0:05:05,0:05:05,3:41:43,3:41:43,12,94,94,10:22:47
95,Kelly Miller,AU,4,95,95,Finisher,1578,F45-49,4762,1:11:19,1:11:19,28,305,305,0:05:19,0:05:19,5:16:20,5:16:20,3,79,79,0:05:01,0:05:01,3:45:19,3:45:19,4,95,95,10:23:18
96,Elyse Gallegos,US,12,96,96,Finisher,264,F35-39,4551,1:04:13,1:04:13,14,98,98,0:03:58,0:03:58,5:24:28,5:24:28,9,77,77,0:04:52,0:04:52,3:45:51,3:45:51,12,96,96,10:23:22
97,Evgenia Boulmeti,,13,97,97,Finisher,331,F35-39,4545,1:06:39,1:06:39,18,145,145,0:03:15,0:03:15,5:16:15,5:16:15,3,54,54,0:03:09,0:03:09,3:54:33,3:54:33,13,97,97,10:23:51
98,Valerie Van Hauwaert,BE,5,98,98,Finisher,1682,F45-49,4753,1:10:33,1:10:33,26,285,285,0:05:00,0:05:00,5:26:12,5:26:12,8,125,125,0:04:49,0:04:49,3:37:29,3:37:29,5,98,98,10:24:03
99,Tamara Jewett,,43,99,99,Finisher,25,FPRO,3611,0:59:45,0:59:45,27,41,41,0:02:40,0:02:40,5:59:48,5:59:48,44,292,292,0:13:02,0:13:02,3:08:55,3:08:55,43,99,99,10:24:09
100,Sandra Dänzer,CH,2,100,100,Finisher,1265,F50-54,4792,1:14:50,1:14:50,31,455,455,0:04:52,0:04:52,5:15:24,5:15:24,1,86,86,0:06:13,0:06:13,3:42:54,3:42:54,2,100,100,10:24:12
101,Emily Rollins,US,6,101,101,Finisher,1699,F45-49,4749,1:14:25,1:14:25,38,435,435,0:06:17,0:06:17,5:24:59,5:24:59,11,146,146,0:05:04,0:05:04,3:33:37,3:33:37,6,101,101,10:24:22
102,Sarah Widder,,9,102,102,Finisher,858,F40-44,4670,1:13:23,1:13:23,54,404,404,0:03:40,0:03:40,5:10:27,5:10:27,5,59,59,0:04:02,0:04:02,3:53:03,3:53:03,9,102,102,10:24:35
103,Judith Weghofer,DE,13,103,103,Finisher,797,F30-34,4402,1:15:00,1:15:00,93,468,468,0:04:34,0:04:34,5:21:20,5:21:20,20,119,119,0:05:10,0:05:10,3:38:41,3:38:41,13,103,103,10:24:46
104,Rebecca Caulfield,AU,14,104,104,Finisher,628,F30-34,4402,1:05:09,1:05:09,16,114,114,0:04:58,0:04:58,5:33:18,5:33:18,24,135,135,0:05:29,0:05:29,3:35:55,3:35:55,14,104,104,10:24:49
