rank,athlete_name,country,div_rank,gender_rank,overall_rank,designation,bib,division,points,swim_time,swim_time_detail,swim_div_rank,swim_gender_rank,swim_overall_rank,transition_1,transition_1_detail,bike_time,bike_time_detail,bike_div_rank,bike_gender_rank,bike_overall_rank,transition_2,transition_2_detail,run_time,run_time_detail,run_div_rank,run_gender_rank,run_overall_rank,finish_time
395,Laura Marie Asche,DE,45,395,395,Finisher,1396,F25-29,3786,1:19:53,1:19:53,79,688,688,0:04:06,0:04:06,5:56:51,5:56:51,51,499,499,0:06:26,0:06:26,3:57:06,3:57:06,45,395,395,11:24:22
396,Lucie Krátká,,35,396,396,Finisher,1655,F45-49,4029,1:14:48,1:14:48,46,449,449,0:03:45,0:03:45,5:51:43,5:51:43,34,378,378,0:03:36,0:03:36,4:10:34,4:10:34,35,396,396,11:24:26
397,Alannah Nash,AU,85,397,397,Finisher,670,F30-34,3685,1:06:58,1:06:58,25,155,155,0:03:55,0:03:55,5:46:52,5:46:52,50,233,233,0:05:15,0:05:15,4:21:29,4:21:29,85,397,397,11:24:30
398,Kiah Wheeler,CA,86,398,398,Finisher,640,F30-34,3685,1:10:12,1:10:12,49,273,273,0:07:24,0:07:24,5:35:06,5:35:06,39,187,187,0:07:40,0:07:40,4:24:08,4:24:08,86,398,398,11:24:31
399,Kylie Lloyd,,63,399,399,Finisher,999,F40-44,3949,1:24:18,1:24:18,155,935,935,0:07:00,0:07:00,5:49:53,5:49:53,86,504,504,0:05:03,0:05:03,3:58:26,3:58:26,63,399,399,11:24:40
400,Ine Vandepoele,,87,400,400,Finisher,634,F30-34,3680,1:28:13,1:28:13,174,1119,1119,0:05:28,0:05:28,5:58:45,5:58:45,128,670,670,0:04:04,0:04:04,3:48:25,3:48:25,87,400,400,11:24:55
401,Bianca Hodgkins,AU,88,401,401,Finisher,623,F30-34,3679,1:08:41,1:08:41,38,216,216,0:04:27,0:04:27,5:41:39,5:41:39,46,208,208,0:03:55,0:03:55,4:26:17,4:26:17,88,401,401,11:25:00
402,Rebecca  Mckee,,24,402,402,Finisher,1272,F50-54,4060,1:18:20,1:18:20,43,601,601,0:05:25,0:05:25,5:37:11,5:37:11,12,274,274,0:07:15,0:07:15,4:16:59,4:16:59,24,402,402,11:25:11
403,Lisa Kruse,US,64,403,403,Finisher,1014,F40-44,3941,1:23:02,1:23:02,140,870,870,0:05:19,0:05:19,5:44:17,5:44:17,67,403,403,0:08:11,0:08:11,4:04:31,4:04:31,64,403,403,11:25:20
404,Olivia Kayye,,46,404,404,Finisher,1327,F25-29,3775,1:00:32,1:00:32,8,53,53,0:04:36,0:04:36,5:49:56,5:49:56,29,212,212,0:11:22,0:11:22,4:18:55,4:18:55,46,404,404,11:25:21
405,Jenny Müller,,89,405,405,Finisher,779,F30-34,3675,1:13:13,1:13:13,80,395,395,0:04:49,0:04:49,5:50:19,5:50:19,71,349,349,0:05:00,0:05:00,4:12:01,4:12:01,89,405,405,11:25:21
406,Yvonne Loughran,,78,406,406,Finisher,292,F35-39,3802,1:09:44,1:09:44,39,259,259,0:06:19,0:06:19,6:02:09,6:02:09,82,467,467,0:07:28,0:07:28,4:00:06,4:00:06,78,406,406,11:25:46
407,Laura Domínguez Diez,ES,65,407,407,Finisher,986,F40-44,3932,1:22:39,1:22:39,138,842,842,0:06:39,0:06:39,6:01:25,6:01:25,102,638,638,0:08:02,0:08:02,3:47:23,3:47:23,65,407,407,11:26:08
408,Amadee Nicolaas,AW,79,408,408,Finisher,205,F35-39,3797,1:22:04,1:22:04,121,813,813,0:09:07,0:09:07,5:58:58,5:58:58,109,627,627,0:08:02,0:08:02,3:48:01,3:48:01,79,408,408,11:26:11
409,Anita Weissinger-Lusenberger,,4,409,409,Finisher,522,F55-59,4449,1:28:19,1:28:19,64,1124,1124,0:04:40,0:04:40,5:56:37,5:56:37,12,621,621,0:03:42,0:03:42,3:52:59,3:52:59,4,409,409,11:26:16
410,Daniela Unger,DE,36,410,410,Finisher,1685,F45-49,4006,1:11:51,1:11:51,34,328,328,0:07:57,0:07:57,5:59:07,5:59:07,57,476,476,0:06:38,0:06:38,4:00:47,4:00:47,36,410,410,11:26:19
411,Claudia Fernanda Arguijo Aguirre,MX,47,411,411,Finisher,1443,F25-29,3759,1:09:33,1:09:33,46,249,249,0:05:31,0:05:31,6:09:36,6:09:36,55,549,549,0:04:05,0:04:05,3:57:52,3:57:52,47,411,411,11:26:37
412,Johanna Schramm,DE,24,412,412,Finisher,1475,F18-24,3911,1:08:46,1:08:46,15,223,223,0:03:50,0:03:50,6:16:08,6:16:08,32,607,607,0:04:14,0:04:14,3:53:49,3:53:49,24,412,412,11:26:46
413,Virginie Perrin,FR,37,413,413,Finisher,1567,F45-49,3998,1:18:17,1:18:17,74,596,596,0:05:15,0:05:15,5:50:38,5:50:38,45,427,427,0:04:23,0:04:23,4:08:25,4:08:25,37,413,413,11:26:59
414,Ynske Rodenhuis,NL,66,414,414,Finisher,988,F40-44,3920,1:07:47,1:07:47,15,178,178,0:03:43,0:03:43,5:59:58,5:59:58,66,393,393,0:04:38,0:04:38,4:10:58,4:10:58,66,414,414,11:27:05
415,MARIANA BECCARIA DA COSTA SOARES HUNGRIA NOGUEIRA,BR,80,415,415,Finisher,311,F35-39,3784,1:21:51,1:21:51,117,802,802,0:06:40,0:06:40,6:19:50,6:19:50,144,881,881,0:07:05,0:07:05,3:31:50,3:31:50,80,415,415,11:27:17
416,Jessica Binaisse,AU,90,416,416,Finisher,713,F30-34,3650,1:10:14,1:10:14,50,274,274,0:04:22,0:04:22,5:53:08,5:53:08,70,343,343,0:04:06,0:04:06,4:15:38,4:15:38,90,416,416,11:27:29
417,Adeline Myotte,,67,417,417,Finisher,1029,F40-44,3908,1:26:42,1:26:42,168,1043,1043,0:03:53,0:03:53,5:39:23,5:39:23,62,367,367,0:06:01,0:06:01,4:12:08,4:12:08,67,417,417,11:28:06
418,Erika Nakamura Da Costa,,68,418,418,Finisher,1073,F40-44,3906,1:11:52,1:11:52,37,330,330,0:04:57,0:04:57,5:56:36,5:56:36,70,415,415,0:03:47,0:03:47,4:11:06,4:11:06,68,418,418,11:28:17
419,Margaret Tobey,US,48,419,419,Finisher,1434,F25-29,3738,1:07:28,1:07:28,33,165,165,0:04:16,0:04:16,5:43:42,5:43:42,31,218,218,0:03:59,0:03:59,4:28:59,4:28:59,48,419,419,11:28:24
420,Metka Jug,SI,5,420,420,Finisher,525,F55-59,4422,1:23:29,1:23:29,42,900,900,0:04:36,0:04:36,6:00:42,6:00:42,11,609,609,0:04:09,0:04:09,3:55:31,3:55:31,5,420,420,11:28:28
421,Anja Štrovs,SI,38,421,421,Finisher,1609,F45-49,3975,1:01:36,1:01:36,2,73,73,0:06:01,0:06:01,6:01:03,6:01:03,31,350,350,0:06:12,0:06:12,4:14:01,4:14:01,38,421,421,11:28:53
422,Elizabeth Izzo,US,91,422,422,Finisher,787,F30-34,3631,1:14:56,1:14:56,91,461,461,0:06:19,0:06:19,5:55:30,5:55:30,96,457,457,0:05:56,0:05:56,4:06:19,4:06:19,91,422,422,11:29:01
423,Dana  Bullard,US,39,423,423,Finisher,1696,F45-49,3973,1:16:39,1:16:39,62,529,529,0:05:51,0:05:51,6:10:49,6:10:49,98,684,684,0:04:54,0:04:54,3:50:51,3:50:51,39,423,423,11:29:04
424,Mylène Frei,CH,49,424,424,Finisher,1407,F25-29,3729,1:17:36,1:17:36,71,567,567,0:05:38,0:05:38,6:04:46,6:04:46,64,597,597,0:05:48,0:05:48,3:55:19,3:55:19,49,424,424,11:29:07
425,Eva Ribalta,ES,25,425,425,Finisher,1177,F50-54,4007,1:25:04,1:25:04,111,984,984,0:04:25,0:04:25,5:47:39,5:47:39,31,458,458,0:08:39,0:08:39,4:03:52,4:03:52,25,425,425,11:29:39
426,Kristin Adermann,DE,69,426,426,Finisher,1019,F40-44,3889,1:28:09,1:28:09,182,1118,1118,0:06:04,0:06:04,5:48:49,5:48:49,91,525,525,0:06:08,0:06:08,4:00:30,4:00:30,69,426,426,11:29:40
427,Season Lane,,40,427,427,Finisher,1625,F45-49,3965,1:14:21,1:14:21,37,433,433,0:04:58,0:04:58,6:05:34,6:05:34,68,551,551,0:06:11,0:06:11,3:58:41,3:58:41,40,427,427,11:29:45
428,Michelle Boyes,AU,6,428,428,Finisher,498,F55-59,4407,1:13:08,1:13:08,8,390,390,0:04:19,0:04:19,5:52:39,5:52:39,3,371,371,0:05:27,0:05:27,4:14:12,4:14:12,6,428,428,11:29:46
429,Anna Goerk,DE,92,429,429,Finisher,812,F30-34,3621,1:25:41,1:25:41,160,1012,1012,0:06:39,0:06:39,5:48:24,5:48:24,105,497,497,0:06:31,0:06:31,4:02:38,4:02:38,92,429,429,11:29:54
430,Ksenia Sirotkina,KG,93,430,430,Finisher,631,F30-34,3620,1:12:30,1:12:30,74,367,367,0:06:28,0:06:28,5:55:12,5:55:12,85,426,426,0:08:29,0:08:29,4:07:18,4:07:18,93,430,430,11:29:58
431,Krisztina Vaczi,HU,70,431,431,Finisher,838,F40-44,3880,1:21:05,1:21:05,121,756,756,0:05:02,0:05:02,6:05:49,6:05:49,106,657,657,0:05:12,0:05:12,3:53:21,3:53:21,70,431,431,11:30:28
432,Amy Haycock,US,94,432,432,Finisher,801,F30-34,3611,1:25:01,1:25:01,157,980,980,0:06:17,0:06:17,5:50:06,5:50:06,108,507,507,0:06:48,0:06:48,4:02:32,4:02:32,94,432,432,11:30:44
433,Aaltje Dargatz,DE,81,433,433,Finisher,141,F35-39,3742,1:06:37,1:06:37,15,142,142,0:03:15,0:03:15,5:50:24,5:50:24,40,269,269,0:04:24,0:04:24,4:26:07,4:26:07,81,433,433,11:30:47
434,Jess Perry,US,71,434,434,Finisher,1072,F40-44,3875,1:14:08,1:14:08,59,423,423,0:05:44,0:05:44,5:55:26,5:55:26,76,439,439,0:08:18,0:08:18,4:07:16,4:07:16,71,434,434,11:30:52
435,Camila Gozetto,,41,435,435,Finisher,1520,F45-49,3950,1:21:09,1:21:09,102,757,757,0:05:37,0:05:37,5:57:08,5:57:08,64,538,538,0:05:25,0:05:25,4:01:40,4:01:40,41,435,435,11:31:00
436,Annika Herrmann,,95,436,436,Finisher,705,F30-34,3607,1:19:33,1:19:33,112,669,669,0:06:15,0:06:15,5:44:46,5:44:46,73,381,381,0:06:04,0:06:04,4:14:26,4:14:26,95,436,436,11:31:02
437,Janina Bolley,,72,437,437,Finisher,1037,F40-44,3873,1:19:38,1:19:38,109,677,677,0:09:19,0:09:19,6:11:27,6:11:27,130,783,783,0:09:20,0:09:20,3:41:20,3:41:20,72,437,437,11:31:04
438,Stefanie Mayer,DE,42,438,438,Finisher,1525,F45-49,3948,1:26:33,1:26:33,140,1037,1037,0:05:10,0:05:10,6:11:59,6:11:59,121,820,820,0:09:32,0:09:32,3:37:53,3:37:53,42,438,438,11:31:08
439,sarah hashagen,DE,82,439,439,Finisher,237,F35-39,3735,1:29:38,1:29:38,167,1174,1174,0:07:26,0:07:26,5:55:55,5:55:55,117,676,676,0:07:07,0:07:07,3:51:13,3:51:13,82,439,439,11:31:19
440,Sarah Van Dyk,US,73,440,440,Finisher,979,F40-44,3868,1:23:48,1:23:48,151,912,912,0:05:28,0:05:28,5:28:29,5:28:29,29,234,234,0:06:16,0:06:16,4:27:23,4:27:23,73,440,440,11:31:25
441,Elise Greenwald,US,25,441,441,Finisher,1469,F18-24,3852,1:07:35,1:07:35,14,172,172,0:05:05,0:05:05,6:24:58,6:24:58,35,745,745,0:06:11,0:06:11,3:47:52,3:47:52,25,441,441,11:31:41
442,Natalia Parfenteva,,96,442,442,Finisher,824,F30-34,3599,1:34:06,1:34:06,188,1301,1301,0:04:54,0:04:54,5:41:03,5:41:03,100,487,487,0:04:42,0:04:42,4:06:59,4:06:59,96,442,442,11:31:44
443,Wendy Fejfar,,43,443,443,Finisher,1730,F45-49,3941,1:17:00,1:17:00,65,543,543,0:05:02,0:05:02,5:34:04,5:34:04,19,223,223,0:07:50,0:07:50,4:27:50,4:27:50,43,443,443,11:31:46
444,Anne Hildebrandt,DE,83,444,444,Finisher,163,F35-39,3730,1:23:16,1:23:16,127,890,890,0:04:53,0:04:53,5:40:34,5:40:34,58,351,351,0:05:10,0:05:10,4:17:54,4:17:54,83,444,444,11:31:47
445,Holly Sinnott,US,97,445,445,Finisher,672,F30-34,3598,1:04:22,1:04:22,12,101,101,0:07:14,0:07:14,6:16:10,6:16:10,122,592,592,0:10:39,0:10:39,3:53:21,3:53:21,97,445,445,11:31:47
446,Jenny Fletcher,CA,26,446,446,Finisher,1089,F50-54,3980,1:04:45,1:04:45,3,104,104,0:06:26,0:06:26,5:41:16,5:41:16,3,185,185,0:06:49,0:06:49,4:32:36,4:32:36,26,446,446,11:31:52
447,Gillian Micoli,,74,447,447,Finisher,907,F40-44,3860,1:10:03,1:10:03,29,272,272,0:05:42,0:05:42,5:54:17,5:54:17,63,369,369,0:06:39,0:06:39,4:15:24,4:15:24,74,447,447,11:32:05
448,Karen Ayse Salih,,27,448,448,Finisher,1268,F50-54,3976,1:21:30,1:21:30,78,777,777,0:05:27,0:05:27,5:42:07,5:42:07,23,356,356,0:05:41,0:05:41,4:17:27,4:17:27,27,448,448,11:32:11
449,Ines Van Troyen,BE,98,449,449,Finisher,785,F30-34,3593,1:12:00,1:12:00,58,339,339,0:05:02,0:05:02,6:08:33,6:08:33,116,556,556,0:10:32,0:10:32,3:56:06,3:56:06,98,449,449,11:32:13
450,Sina Langner,DE,84,450,450,Finisher,217,F35-39,3723,1:28:30,1:28:30,162,1136,1136,0:04:03,0:04:03,5:56:42,5:56:42,105,614,614,0:08:42,0:08:42,3:54:23,3:54:23,84,450,450,11:32:20
451,Britni Bakk,,7,451,451,Finisher,603,F55-59,4375,1:15:33,1:15:33,17,499,499,0:04:11,0:04:11,5:58:40,5:58:40,5,470,470,0:03:18,0:03:18,4:10:40,4:10:40,7,451,451,11:32:22
452,Helaena Nicholls,AU,99,452,452,Finisher,696,F30-34,3590,1:02:09,1:02:09,10,80,80,0:07:13,0:07:13,6:05:06,6:05:06,87,430,430,0:09:16,0:09:16,4:08:40,4:08:40,99,452,452,11:32:25
453,Ashley Powell,US,50,453,453,Finisher,1432,F25-29,3683,1:08:43,1:08:43,42,218,218,0:07:04,0:07:04,6:19:22,6:19:22,73,710,710,0:09:17,0:09:17,3:48:33,3:48:33,50,453,453,11:32:58
454,Lizzie Mcnamara,US,100,454,454,Finisher,788,F30-34,3584,1:14:34,1:14:34,84,438,438,0:05:06,0:05:06,6:04:39,6:04:39,114,545,545,0:05:36,0:05:36,4:03:05,4:03:05,100,454,454,11:32:59
455,Alexandra Noonan,GB,85,455,455,Finisher,121,F35-39,3715,1:24:13,1:24:13,135,928,928,0:06:09,0:06:09,5:31:43,5:31:43,48,289,289,0:06:41,0:06:41,4:24:13,4:24:13,85,455,455,11:33:00
456,Meredith Jones,US,28,456,456,Finisher,1230,F50-54,3963,1:04:34,1:04:34,2,103,103,0:05:51,0:05:51,5:58:27,5:58:27,22,352,352,0:05:12,0:05:12,4:19:12,4:19:12,28,456,456,11:33:16
457,Charlotta Axling,,44,457,457,Finisher,1688,F45-49,3922,1:33:42,1:33:42,188,1290,1290,0:04:56,0:04:56,5:39:10,5:39:10,56,465,465,0:05:57,0:05:57,4:09:37,4:09:37,44,457,457,11:33:21
458,Shana Poe,,75,458,458,Finisher,884,F40-44,3841,1:08:19,1:08:19,20,193,193,0:05:16,0:05:16,5:53:06,5:53:06,54,330,330,0:04:26,0:04:26,4:22:34,4:22:34,75,458,458,11:33:40
459,Nadine Zyman,VE,101,459,459,Finisher,826,F30-34,3575,1:19:24,1:19:24,111,657,657,0:05:41,0:05:41,6:09:09,6:09:09,132,699,699,0:05:26,0:05:26,3:54:01,3:54:01,101,459,459,11:33:41
460,Sabine Claudia Egger-Weickhardt,,29,460,460,Finisher,1188,F50-54,3954,1:32:35,1:32:35,151,1264,1264,0:05:05,0:05:05,5:49:18,5:49:18,40,576,576,0:04:21,0:04:21,4:02:46,4:02:46,29,460,460,11:34:03
461,Lisa Römer,DE,76,461,461,Finisher,1045,F40-44,3836,1:27:08,1:27:08,171,1063,1063,0:06:01,0:06:01,5:50:09,5:50:09,93,528,528,0:06:16,0:06:16,4:04:34,4:04:34,76,461,461,11:34:08
462,Valeria Sesto,,30,462,462,Finisher,1252,F50-54,3952,1:19:30,1:19:30,56,664,664,0:04:33,0:04:33,6:18:30,6:18:30,65,806,806,0:04:24,0:04:24,3:47:18,3:47:18,30,462,462,11:34:15
463,Paulina Calleja,,102,463,463,Finisher,793,F30-34,3567,1:22:51,1:22:51,135,857,857,0:05:36,0:05:36,6:00:11,6:00:11,124,605,605,0:07:12,0:07:12,3:58:32,3:58:32,102,463,463,11:34:21
464,ELAINE DE TOLEDO,,45,464,464,Finisher,1611,F45-49,3909,1:15:25,1:15:25,58,490,490,0:05:10,0:05:10,5:54:18,5:54:18,47,432,432,0:07:09,0:07:09,4:12:22,4:12:22,45,464,464,11:34:25
465,Olivia Fitz-Poole,GB,77,465,465,Finisher,978,F40-44,3830,1:18:38,1:18:38,85,613,613,0:05:08,0:05:08,5:45:37,5:45:37,60,360,360,0:05:51,0:05:51,4:19:22,4:19:22,77,465,465,11:34:36
466,Helen Viehr,DE,78,466,466,Finisher,1053,F40-44,3829,1:13:14,1:13:14,51,398,398,0:05:19,0:05:19,5:45:43,5:45:43,48,307,307,0:06:55,0:06:55,4:23:31,4:23:31,78,466,466,11:34:43
467,Margaret Lucas,,86,467,467,Finisher,307,F35-39,3694,1:28:29,1:28:29,161,1135,1135,0:04:33,0:04:33,5:45:13,5:45:13,83,469,469,0:05:00,0:05:00,4:11:29,4:11:29,86,467,467,11:34:44
468,Julie Travers,US,87,468,468,Finisher,137,F35-39,3693,1:21:59,1:21:59,120,809,809,0:06:20,0:06:20,5:44:38,5:44:38,72,405,405,0:08:13,0:08:13,4:13:39,4:13:39,87,468,468,11:34:49
469,Stefanie Rödig,DE,79,469,469,Finisher,1056,F40-44,3822,1:30:41,1:30:41,190,1206,1206,0:06:43,0:06:43,5:36:45,5:36:45,74,425,425,0:06:36,0:06:36,4:14:31,4:14:31,79,469,469,11:35:15
470,Ruth Simmons,GB,46,470,470,Finisher,1539,F45-49,3899,1:21:24,1:21:24,107,771,771,0:04:37,0:04:37,6:01:42,6:01:42,79,590,590,0:05:20,0:05:20,4:02:13,4:02:13,46,470,470,11:35:16
471,Kirsten Verner,CA,47,471,471,Finisher,1614,F45-49,3898,1:19:41,1:19:41,89,679,679,0:05:56,0:05:56,6:02:34,6:02:34,83,603,603,0:05:51,0:05:51,4:01:19,4:01:19,47,471,471,11:35:21
472,Belen Valdovinos,PY,48,472,472,Finisher,1583,F45-49,3896,1:29:49,1:29:49,175,1181,1181,0:06:07,0:06:07,6:08:30,6:08:30,124,831,831,0:05:57,0:05:57,3:45:07,3:45:07,48,472,472,11:35:30
473,Nicola Reiser,SE,8,473,473,Finisher,1770,F55-59,4337,1:25:42,1:25:42,47,1013,1013,0:06:01,0:06:01,5:58:42,5:58:42,15,631,631,0:06:32,0:06:32,3:58:37,3:58:37,8,473,473,11:35:34
474,Faith Korbel,US,49,474,474,Finisher,1638,F45-49,3894,1:10:02,1:10:02,23,271,271,0:08:24,0:08:24,6:12:49,6:12:49,88,643,643,0:06:29,0:06:29,3:57:53,3:57:53,49,474,474,11:35:37
475,Meredith Moss,,80,475,475,Finisher,1055,F40-44,3818,1:18:32,1:18:32,84,611,611,0:06:48,0:06:48,5:58:13,5:58:13,94,533,533,0:09:32,0:09:32,4:02:34,4:02:34,80,475,475,11:35:38
476,Lindsay Dibona,US,88,476,476,Finisher,273,F35-39,3682,1:10:43,1:10:43,53,293,293,0:04:10,0:04:10,5:41:28,5:41:28,29,225,225,0:10:31,0:10:31,4:28:53,4:28:53,88,476,476,11:35:45
477,Wynia Derks,NL,31,477,477,Finisher,1197,F50-54,3933,1:21:39,1:21:39,83,788,788,0:07:18,0:07:18,6:02:44,6:02:44,48,650,650,0:08:43,0:08:43,3:55:25,3:55:25,31,477,477,11:35:48
478,Daniela Prüß,,32,478,478,Finisher,1112,F50-54,3933,1:18:41,1:18:41,48,616,616,0:07:47,0:07:47,5:46:38,5:46:38,26,409,409,0:06:51,0:06:51,4:15:51,4:15:51,32,478,478,11:35:49
479,Michaela Krieger,DE,50,479,479,Finisher,1729,F45-49,3889,1:01:45,1:01:45,3,76,76,0:05:07,0:05:07,5:54:20,5:54:20,25,278,278,0:05:48,0:05:48,4:29:03,4:29:03,50,479,479,11:36:03
480,Caroline Anderson,AU,1,480,480,Finisher,365,F60-64,5000,1:21:00,1:21:00,16,752,752,0:04:20,0:04:20,5:58:05,5:58:05,4,531,531,0:06:09,0:06:09,4:06:37,4:06:37,1,480,480,11:36:12
481,Courtney Winterbauer,US,103,481,481,Finisher,718,F30-34,3545,1:34:16,1:34:16,189,1307,1307,0:05:29,0:05:29,5:53:19,5:53:19,130,677,677,0:08:57,0:08:57,3:54:14,3:54:14,103,481,481,11:36:14
482,Signe Ventsel,,51,482,482,Finisher,1673,F45-49,3884,1:21:22,1:21:22,104,765,765,0:04:42,0:04:42,5:49:11,5:49:11,51,438,438,0:05:07,0:05:07,4:16:06,4:16:06,51,482,482,11:36:28
483,Monika Frank,CH,52,483,483,Finisher,1735,F45-49,3880,1:15:04,1:15:04,52,474,474,0:05:31,0:05:31,6:05:31,6:05:31,71,565,565,0:06:12,0:06:12,4:04:29,4:04:29,52,483,483,11:36:47
484,Hollie Swidarski,US,104,484,484,Finisher,755,F30-34,3537,1:18:16,1:18:16,106,592,592,0:07:15,0:07:15,6:16:55,6:16:55,145,804,804,0:07:49,0:07:49,3:46:35,3:46:35,104,484,484,11:36:50
485,Femke Van De Water,NL,51,485,485,Finisher,1428,F25-29,3635,1:20:20,1:20:20,86,715,715,0:05:40,0:05:40,6:01:40,6:01:40,62,589,589,0:04:30,0:04:30,4:04:46,4:04:46,51,485,485,11:36:57
486,Vivian Boijens,,52,486,486,Finisher,1370,F25-29,3634,1:05:48,1:05:48,28,134,134,0:03:39,0:03:39,6:16:36,6:16:36,57,563,563,0:05:25,0:05:25,4:05:34,4:05:34,52,486,486,11:37:02
487,Anastasia Raymond,,53,487,487,Finisher,1398,F25-29,3634,1:08:10,1:08:10,38,185,185,0:05:35,0:05:35,6:13:46,6:13:46,60,585,585,0:07:32,0:07:32,4:02:02,4:02:02,53,487,487,11:37:05
488,Heather Suhr,,81,488,488,Finisher,1061,F40-44,3800,1:31:01,1:31:01,191,1218,1218,0:07:44,0:07:44,5:58:18,5:58:18,123,738,738,0:07:41,0:07:41,3:52:24,3:52:24,81,488,488,11:37:07
489,Katherine Chabot-Boucher,US,33,489,489,Finisher,1225,F50-54,3916,1:24:15,1:24:15,94,930,930,0:07:10,0:07:10,6:10:28,6:10:28,62,797,797,0:08:14,0:08:14,3:47:07,3:47:07,33,489,489,11:37:13
490,Carla Roocke,AU,54,490,490,Finisher,1366,F25-29,3632,1:06:47,1:06:47,32,151,151,0:05:37,0:05:37,5:54:29,5:54:29,41,333,333,0:05:59,0:05:59,4:24:24,4:24:24,54,490,490,11:37:16
491,MAYARA BELLETTINI,BR,89,491,491,Finisher,193,F35-39,3663,1:10:28,1:10:28,44,281,281,0:06:29,0:06:29,5:43:21,5:43:21,41,270,270,0:06:53,0:06:53,4:30:07,4:30:07,89,491,491,11:37:18
492,Katrin Kaufmann,,34,492,492,Finisher,1120,F50-54,3915,1:28:37,1:28:37,128,1139,1139,0:06:14,0:06:14,5:55:22,5:55:22,44,628,628,0:05:53,0:05:53,4:01:15,4:01:15,34,492,492,11:37:20
493,Hannah Durbin,US,55,493,493,Finisher,1431,F25-29,3628,1:22:59,1:22:59,95,864,864,0:04:41,0:04:41,6:01:17,6:01:17,66,611,611,0:05:28,0:05:28,4:03:12,4:03:12,55,493,493,11:37:36
494,Adrianna Waack,US,56,494,494,Finisher,1347,F25-29,3627,1:04:51,1:04:51,18,106,106,0:06:20,0:06:20,6:17:34,6:17:34,65,608,608,0:06:51,0:06:51,4:02:04,4:02:04,56,494,494,11:37:40
495,Jessica Levey,US,105,495,495,Finisher,627,F30-34,3525,1:08:36,1:08:36,35,208,208,0:05:58,0:05:58,6:28:36,6:28:36,146,814,814,0:05:39,0:05:39,3:49:04,3:49:04,105,495,495,11:37:54
496,Mirna Pokas,HR,82,496,496,Finisher,1001,F40-44,3790,1:39:07,1:39:07,219,1398,1398,0:04:41,0:04:41,5:54:33,5:54:33,127,759,759,0:05:38,0:05:38,3:53:57,3:53:57,82,496,496,11:37:55
497,Elena Schmitt,DE,90,497,497,Finisher,191,F35-39,3656,1:23:55,1:23:55,133,917,917,0:05:01,0:05:01,6:09:21,6:09:21,125,757,757,0:06:18,0:06:18,3:53:22,3:53:22,90,497,497,11:37:56
498,Patricia Fröhlich,DE,106,498,498,Finisher,803,F30-34,3524,1:13:11,1:13:11,79,393,393,0:05:01,0:05:01,5:53:27,5:53:27,76,395,395,0:08:49,0:08:49,4:17:30,4:17:30,106,498,498,11:37:57
499,Marie Van Eyken,BE,107,499,499,Finisher,637,F30-34,3522,1:12:11,1:12:11,63,352,352,0:05:34,0:05:34,5:56:04,5:56:04,83,418,418,0:08:18,0:08:18,4:15:58,4:15:58,107,499,499,11:38:05
500,Kaisa Jakobsen,FI,2,500,500,Finisher,385,F60-64,4977,1:24:08,1:24:08,26,923,923,0:05:48,0:05:48,6:03:08,6:03:08,8,678,678,0:05:36,0:05:36,3:59:27,3:59:27,2,500,500,11:38:06
501,Nadine Sternlicht,,108,501,501,Finisher,682,F30-34,3521,1:23:18,1:23:18,143,893,893,0:05:40,0:05:40,6:06:20,6:06:20,134,712,712,0:08:04,0:08:04,3:54:51,3:54:51,108,501,501,11:38:12
502,Martika Torres,,53,502,502,Finisher,1628,F45-49,3857,1:14:46,1:14:46,44,447,447,0:05:48,0:05:48,5:57:11,5:57:11,55,464,464,0:11:37,0:11:37,4:09:20,4:09:20,53,502,502,11:38:43
503,Laila Gammelvind,DK,54,503,503,Finisher,1666,F45-49,3855,1:25:28,1:25:28,134,1002,1002,0:06:12,0:06:12,6:06:43,6:06:43,112,760,760,0:06:13,0:06:13,3:54:17,3:54:17,54,503,503,11:38:52
504,Ina Born,DE,91,504,504,Finisher,173,F35-39,3644,1:19:17,1:19:17,101,646,646,0:04:35,0:04:35,5:53:17,5:53:17,81,459,459,0:05:25,0:05:25,4:16:22,4:16:22,91,504,504,11:38:56
505,Samantha Zeps,,35,505,505,Finisher,1145,F50-54,3893,1:19:31,1:19:31,57,665,665,0:06:33,0:06:33,6:07:14,6:07:14,50,683,683,0:05:45,0:05:45,4:00:04,4:00:04,35,505,505,11:39:07
506,GREYSE RENATA HAU,,83,506,506,Finisher,959,F40-44,3774,1:27:58,1:27:58,180,1112,1112,0:06:17,0:06:17,6:08:10,6:08:10,136,803,803,0:05:13,0:05:13,3:51:39,3:51:39,83,506,506,11:39:18
507,Sara Randolph,US,55,507,507,Finisher,1756,F45-49,3848,1:09:19,1:09:19,16,241,241,0:05:35,0:05:35,6:02:26,6:02:26,53,462,462,0:08:00,0:08:00,4:14:11,4:14:11,55,507,507,11:39:31
508,Maren Barros,,56,508,508,Finisher,1603,F45-49,3846,1:19:24,1:19:24,81,658,658,0:07:26,0:07:26,5:43:43,5:43:43,37,382,382,0:07:35,0:07:35,4:21:28,4:21:28,56,508,508,11:39:37
509,Panna Páczai,HU,26,509,509,Finisher,1514,F18-24,3756,1:20:56,1:20:56,46,749,749,0:05:06,0:05:06,6:20:19,6:20:19,38,856,856,0:05:17,0:05:17,3:48:02,3:48:02,26,509,509,11:39:40
